Landing_Page_Size_In_KB,Same Landing Domain,Has Bank Related Keywords,Has Crypto Related Keywords,Has Card Related Keywords,Unique_Internal_Page_Link_Cnt,Unique_External_Page_Link_Cnt,Avg_External_Links_Len,Stdv_External_Links_Len,Ratio_Shortened_URL_And_External_Links,Ratio_Social_Media_Links_And_External_Links,Has_Google_Form_External_Link,Has_Paypal_External_Link,Is Cheapest TLD,Is Combined TLD,Spamhaus TLD Rank,Domain Letter Count,Domain Digit Rate,Domain Hyphen Count,xn-- Present,Money Keyword Check,Help Keyword Check,Campaign Keyword Check,War Keyword Check,For and To Keyword Check,Number Instead of Word,Is WhoIs Registrar Available,Is SSL Certificate Retrievable,K-means Label,KMedoids Label,Hierarchical Label,DBSCAN Label,GMM Label,IPQS_Flag,Domain
86.53,1,0,0,0,7,5,50.8,10.26,0.0,0.6,0,0,0,0,0.16,17,0.19,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1001minutesforukraine.com
123.73,1,0,0,0,15,2,75.5,32.5,0.0,0.0,0,0,0,0,0.05,16,0.111,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1to1ukrainemuseums.org
96.91,1,0,0,0,2,3,43.0,5.1,0.0,0.67,0,0,0,0,0.03,20,0.048,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1violettepourlukraine.fr
1170.81,1,0,0,0,1,14,45.43,24.74,0.0,0.07,0,0,0,0,0.16,17,0.105,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,33lettersforukraine.com
47.44,1,0,0,0,25,19,29.11,17.09,0.0,0.16,0,0,0,0,0.16,9,0.1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,4myukraine.com
763.96,1,0,0,0,27,10,37.7,23.19,0.0,0.3,0,0,0,0,0.02,7,0.125,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4ukraine.ca
45.47,1,0,0,0,2,2,66.5,25.5,0.0,0.0,0,0,0,0,0.12,7,0.125,0,0,0,0,0,0,0,1,0,1,2,2,3,0,2,1,4ukraine.co
9.88,1,0,0,0,1,2,73.0,37.0,0.0,0.5,1,0,0,0,0.01,7,0.125,0,0,0,0,0,0,0,1,0,0,2,2,3,0,2,0,4ukraine.cz
9.88,1,0,0,0,1,2,73.0,37.0,0.0,0.5,1,0,1,0,0.06,7,0.125,0,0,0,0,0,0,0,1,0,0,2,2,3,0,2,0,4ukraine.eu
77.35,1,1,0,0,14,4,35.75,9.83,0.0,0.75,0,0,0,0,0.13,7,0.125,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,4ukraine.net
86.85,1,0,0,0,16,8,46.25,16.09,0.12,0.62,0,0,0,1,0.05,7,0.125,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,4ukraine.org.uk
